question,type,option1,option2,option3,option4,answer
淡江大學教育科技系的英文名稱是什麼？,choice,Department of Educational Technology and Media,Department of Instructional Design and Technology,Department of Educational Technology,Department of Digital Learning and Education,C
教育科技系最主要的教學方向不包括以下哪一項？,choice,數位教材設計,教學媒體製作,機械工程操作,教學系統規劃,C
教育科技系位於淡江大學哪一棟建築物內？,choice,商管大樓,文學館,宗教與哲學中心,宏觀大樓,B
淡江大學教育科技系目前提供哪些學制？,choice,學士班,學士班與碩士班,學士班、碩士班與在職專班,碩士班與博士班,C
教育科技系最常使用哪一套學習管理平台？,choice,Moodle,iClass,Edmodo,Teams,B
淡江大學的吉祥物是什麼？,choice,龍,鯊魚,海豚,老鷹,C
淡江大學位於哪一個區域？,choice,士林區,三重區,板橋區,淡水區,D
教育科技系的必修課程中，哪一門課是強調教學設計與發展的？,choice,數位遊戲設計,教學設計,多媒體動畫製作,課程與教學,B
下列哪一項不是教育科技系學生常用的軟體？,choice,Photoshop,Premiere Pro,AutoCAD,Articulate Storyline,C
淡江大學有幾個校區？,choice,1個,2個,3個,4個,C
淡江大學的創辦人是誰？,choice,蔣中正,郭台銘,蘇貞昌,張建邦,D
教育科技系曾參與製作哪一類型的創新教學產品？,choice,AI晶片,電動車模組,數位教材與遊戲式學習平台,電商平台設計,C
淡江大學著名的校園地標之一「海報牆」主要用途是？,choice,宣傳活動與社團資訊,藝術創作展示,學術論文發表,學生公告與活動宣傳,D
以下哪一個不是教育科技系的核心能力？,choice,教學設計能力,媒體製作能力,系統規劃能力,財務分析能力,D
教育科技系訓練學生具備「_________」與數位教學整合的能力，能應用於教學與企業訓練。,fill-in-the-blank,,,,,科技應用